measure,time,time_type,Ethnicity,ethnicity_type,legislation_type,geography,geography_type,number_of_stop_and_searches,total_number_of_stop_and_search_carried_out_in_this_year_in_this_area_excluding_cases_where_the_ethnicity_was_unreported,population_by_ethnicity,rate_per_1_000_population_by_ethnicity,proportion_of_total_stop_and_searches_of_this_ethnicity_in_the_financial_year_excludes_unreported
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Mixed White and Asian,ONS 2001 16+1,All,All - including BTP and excluding Greater Manchester,Police Force Area,1254,316594,326070,3.85,0.4
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,20,9050,7477,2.67,0.2
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,9,8722,7477,1.2,0.1
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,13,12772,7477,1.74,0.1
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,27,12983,7477,3.61,0.2
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,24,14940,7477,3.21,0.2
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,21,20911,7477,2.81,0.1
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,54,29588,7477,7.22,0.2
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,39,23728,7477,5.22,0.2
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,19,9973,7477,2.54,0.2
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,14,4929,7477,1.87,0.3
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,16,4723,7477,2.14,0.3
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,13,4734,7477,1.74,0.3
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,18,4589,7477,2.41,0.4
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Bedfordshire,Police Force Area,23,4279,4645,4.95,0.5
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Bedfordshire,Police Force Area,21,4614,4645,4.52,0.5
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Bedfordshire,Police Force Area,38,8076,4645,8.18,0.5
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Bedfordshire,Police Force Area,42,6908,4645,9.04,0.6
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Bedfordshire,Police Force Area,49,8856,4645,10.55,0.6
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Bedfordshire,Police Force Area,21,6886,4645,4.52,0.3
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Bedfordshire,Police Force Area,30,7365,4645,6.46,0.4
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Bedfordshire,Police Force Area,22,5515,4645,4.74,0.4
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Bedfordshire,Police Force Area,15,2476,4645,3.23,0.6
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Bedfordshire,Police Force Area,10,1891,4645,2.15,0.5
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Bedfordshire,Police Force Area,11,1373,4645,2.37,0.8
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Bedfordshire,Police Force Area,8,1244,4645,1.72,0.6
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Bedfordshire,Police Force Area,21,1631,4645,4.52,1.3
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Mixed White and Asian,ONS 2001 16+1,All,British Transport Police,Police Force Area,241,39484,NA,NA,0.6
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Mixed White and Asian,ONS 2001 16+1,All,British Transport Police,Police Force Area,71,17521,NA,NA,0.4
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Mixed White and Asian,ONS 2001 16+1,All,British Transport Police,Police Force Area,32,10552,NA,NA,0.3
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Mixed White and Asian,ONS 2001 16+1,All,British Transport Police,Police Force Area,39,9135,NA,NA,0.4
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Mixed White and Asian,ONS 2001 16+1,All,British Transport Police,Police Force Area,40,11066,NA,NA,0.4
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Mixed White and Asian,ONS 2001 16+1,All,British Transport Police,Police Force Area,25,5725,NA,NA,0.4
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Mixed White and Asian,ONS 2001 16+1,All,British Transport Police,Police Force Area,15,3001,NA,NA,0.5
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Mixed White and Asian,ONS 2001 16+1,All,British Transport Police,Police Force Area,12,2139,NA,NA,0.6
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Asian,ONS 2001 16+1,All,British Transport Police,Police Force Area,8,2160,NA,NA,0.4
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Mixed White and Asian,ONS 2001 16+1,All,British Transport Police,Police Force Area,30,4455,NA,NA,0.7
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cambridgeshire,Police Force Area,31,8582,5279,5.87,0.4
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cambridgeshire,Police Force Area,26,9811,5279,4.93,0.3
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cambridgeshire,Police Force Area,7,5286,5279,1.33,0.1
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cambridgeshire,Police Force Area,8,6070,5279,1.52,0.1
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cambridgeshire,Police Force Area,28,13145,5279,5.3,0.2
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cambridgeshire,Police Force Area,38,16900,5279,7.2,0.2
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cambridgeshire,Police Force Area,30,16169,5279,5.68,0.2
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cambridgeshire,Police Force Area,26,12292,5279,4.93,0.2
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cambridgeshire,Police Force Area,15,5715,5279,2.84,0.3
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cambridgeshire,Police Force Area,7,2836,5279,1.33,0.2
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cambridgeshire,Police Force Area,4,1084,5279,0.76,0.4
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cambridgeshire,Police Force Area,1,775,5279,0.19,0.1
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cambridgeshire,Police Force Area,8,1363,5279,1.52,0.6
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cheshire,Police Force Area,5,6390,3345,1.49,0.1
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cheshire,Police Force Area,5,5547,3345,1.49,0.1
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cheshire,Police Force Area,4,4976,3345,1.2,0.1
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cheshire,Police Force Area,6,5193,3345,1.79,0.1
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cheshire,Police Force Area,7,6002,3345,2.09,0.1
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cheshire,Police Force Area,9,7787,3345,2.69,0.1
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cheshire,Police Force Area,6,4934,3345,1.79,0.1
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cheshire,Police Force Area,22,6541,3345,6.58,0.3
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cheshire,Police Force Area,22,9203,3345,6.58,0.2
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cheshire,Police Force Area,3,3839,3345,0.9,0.1
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cheshire,Police Force Area,3,2004,3345,0.9,0.1
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cheshire,Police Force Area,7,1889,3345,2.09,0.4
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cheshire,Police Force Area,2,2104,3345,0.6,0.1
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cleveland,Police Force Area,15,11453,2173,6.9,0.1
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cleveland,Police Force Area,22,15573,2173,10.12,0.1
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cleveland,Police Force Area,23,17357,2173,10.58,0.1
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cleveland,Police Force Area,32,24197,2173,14.73,0.1
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cleveland,Police Force Area,26,29911,2173,11.97,0.1
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cleveland,Police Force Area,29,30424,2173,13.35,0.1
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cleveland,Police Force Area,21,31104,2173,9.66,0.1
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cleveland,Police Force Area,25,24616,2173,11.5,0.1
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Mixed White and Asian,ONS 2001 16+1,All,Cleveland,Police Force Area,14,9281,2173,6.44,0.2
